RDA,Farm-1,Farm-2,Farm-3
21.8,22.1,21.5,23
53,59,54,49
107,115,112,102
157,162,158,154
205,214,205,298
237,243,236,246
298,304,298,288
345,333,341,344
402,389,363,388
430,437,402,412
475,481,454,478
530,525,527,520
691,669,654,644
750,725,740,720
788,783,791,766
803,811,825,800
825,845,852,835
878,891,888,878
921,917,941,935
965,972,969,972
1032,998,1009,1020
1076,1021,1148,1096
1105,1088,1189,1121
1138,1135,1231,1168
1180,1202,1278,1212
1235,1242,1302,1275
640.3,637.8115385,653.4038462,644
