Designation,DoJ,DoB,Grade,Staion,Region,ObjectionCategory,Punishment,Fund Assimilation,Collected
Driver,01/11/1991,'01/02/1963,2,HQ,HQ,?????? ?????? ?????? ????? ,??????????? ????,,
JD,01/07/1998,'14/08/1968,4,HQ,HQ,???????? ????????,??????????? ????,,
SAD,06/05/1996,'01/01/1971,7,HQ,HQ,"??? ??????, ????? ? ???? ???????",????? ??? ???????,,
SAD,21/07/1987,'02/02/1963,7,Bhola DD Office,Bhola,????? ? ???? ???????,???? ?????? ????????? ????? ???????,,
SAD,11/05/1996,'08/08/1971,7,Jamalpur DD Office,Jamalpur,????? ?????,?????????? ?? ??? ???? ???????,,
UDBO,22/11/1995,'09/11/1970,9,Gangachara,Rangpur,???????? ?????,????? ??? ???????,,
UDBO,15/06/2015,'09/01/1986,9,Gurudaspur,Natore,?????? ?????? ?????????? ??????,??????????? ????,,
AP,15/06/2015,'04/06/1983,9,HQ,HQ,?????? ?????? ?????????? ??????,??????????? ????,,
UDBO,20/11/1994,'01/08/1966,9,Bhola Sadar,Bhola,????????,???? ?????? ????????? ????? ???????,,
ADBO,23/04/1985,'28/10/1962,10,Syedpur,Dinajpur,??????? ????,???????? ?????????,,
ADBO,14/11/1994,'01/01/1968,10,Daulatkhan ,Bhola,???? ???????,????? ??? ???????,,
ADBO,01/07/1989,'12/10/1972,10,Haluaghat,???????? ,???? ???????,????? ??? ???????,255914.00,182610
AO,04/05/2014,'20/11/1987,10,Gangachara,Rangpur,???? ???????,???? ?????? ????????? ????? ???????,28000.00,28000.00
IT Officer,2/10/1988,'20/08/1967,10,Bhola DD Office,Bhola,???????,?????????? ?? ??? ???? ???????,,
ADBO,25/11/1995,'10/01/1970,10,,,???? ???????,?????????? ?? ??? ???? ???????,98712.00,61516
AAO,04/05/2014,'10/02/1985,11,,,???????? ???????? ?????,???????? ?????????,,
Sr. FO,08/12/1988,'04/04/1964,11,Pirgasa,Bogura,??????? ????,???????? ??? ????? ?????????,,
AAO,03/11/2013,'06/06/1983,11,Chowgacha ,Magura,"????????, ??????? ??????? ????",???? ?????? ????????? ????? ???????,,
Sr. FO,22/02/1995,'02/06/1964,11,Kashiani ,,???? ???????,???? ?????? ????????? ????? ???????,234510.00,234510.00
Sr. FO,04/09/2004,'01/12/1984,11,Syedpur,Dinajpur,???? ???????,?????????? ?? ??? ???? ???????,79300.00,79300.00
Sr. FO,17/12/1997,'20/09/1971,11,Badarganj,,???? ???????,?????????? ?? ??? ???? ???????,158858.00,14087
Sr. FO,30/07/2005,'17/07/1980,11,Dhobaura,,???? ???????,?????????? ??? ??? ???? ???????,576412.00,576412.00
Sr. FO,23/11/1995,'31/12/1972,11,Boda,Thakurgaon,???? ???????,?????????? ??? ??? ???? ???????,132764.00,132764.00
Sr. FO,24/01/2005,'20/10/1980,11,Bhadoria,Dinajpur,???? ???????,?????????? ??? ??? ???? ???????,85081.00,85081.00
Sr. FO,01/09/2004,'15/04/1982,11,Swarupkathi ,,???? ???????,?????????? ??? ??? ???? ???????,470914.00,470914.00
Sr. FO,04/09/2004,'01/12/1984,11,Syedpur,Dinajpur,???? ???????,????? ??? ???????? ??????,,
Field Officer,27/07/2005,'05/10/1980,12,Jamalpur Sadar,Jamalpur,???? ???????,????? ??? ???????,6139613.00,364000.00
Field Officer,09/04/2005,'20/08/1980,12,,,???? ???????,??????????? ????,298713.00,211913.00
Field Organizer,22/07/2012,'22/07/1980,12,Tungipara,Faridpur,????? ?????,?????????? ?? ??? ???? ???????,,
Field Officer,24/10/2011,'02/10/1985,12,Chowgacha ,Magura,???? ???????,?????????? ??? ??? ???? ???????,284787.00,284787.00
Field Organizer,09/07/2014,'04/06/1985,14,,,???? ???????,01?? ?????? ???? 02????? ???? ??????,18800.00,18800.00
Field Organizer,24/11/2011,'12/01/1990,14,Mathbaria ,,???? ???????,????? ??? ???????,823875.00,84100.00
Field Organizer,02/05/2013,'15/07/1984,14,Sadarpur,Faridpur,???? ???????,????? ??? ???????,359981.00,148839.00
AAO,25/02/2016,'18/09/1990,14,,,?????? ?????? ?????????? ??????,???????? ? ?????????? ????????? ????? ???????,,
Field Officer,07/10/2012,'21/11/1992,14,,,???? ???????,??????????? ????,180151.00,180151.00
Field Officer,07/10/2012,'21/11/1992,14,,,???? ???????,??????????? ????,40310.00,40310.00
Field Organizer,18/07/2016,'05/02/1989,14,,,???? ???????,??????????? ????,626842.00,626842.00
Field Organizer,22/02/2016,'20/11/1989,14,,,???? ???????,??????????? ????,949178.00,270372
Field Organizer,04/10/2016,'17/06/1987,14,Lakshmipur ,,???? ???????,??????????? ????,444318.00,185955
Field Organizer,19/11/2011,'02/05/1990,14,Zakiganj ,Sylhet,???? ???????,??????????? ????,809486.00,10000
Field Organizer,19/11/2011,'23/01/1990,14,Chonatia,Jamalpur,???? ???????,???? ?????? ????????? ????? ???????,46320.00,46320.00
Field Organizer,03/07/2014,'04/05/1986,14,Meherpur,,???? ???????,???? ?????? ????????? ????? ???????,,
Field Organizer,12/11/2012,'01/01/1983,14,Fulbaria ,Mymensingh,???? ???????,???? ?????? ????????? ????? ???????,272363.00,272363.00
Field Organizer,22/02/2016,'28/02/1986,14,Syedpur,Dinajpur,???? ???????,?????????? ?? ??? ???? ???????,69797.00,69797.00
Field Organizer,09/09/2013,'16/11/1986,14,Bera,,???? ???????,?????????? ??? ??? ???? ???????,218725.00,218725.00
Field Organizer,08/09/2013,'04/11/1985,14,,,???? ???????,?????????? ??? ??? ???? ???????,91957.00,91957.00
Field Organizer,12/11/2012,'01/03/1984,14,,,???? ???????,?????????? ??? ??? ???? ???????,358590.00,358590.00
Field Organizer,15/06/2016,'17/11/1987,14,Pirgacha,Rangpur,???? ???????,?????????? ??? ??? ???? ???????,198550.00,198550.00
Field Organizer,03/11/2013,'05/08/1985,14,Atharabari ,,???? ???????,?????????? ??? ??? ???? ???????,65660.00,65660.00
Driver,23/11/2000,'05/08/1975,15,,,??????? ????,??????????? ????,,
Driver,09/07/2001,'15/08/1971,15,Bhola DD Office,Bhola,??????? ????,????? ??? ???????? ??????,,
Electrician,15/06/2014,'28/06/1988,18,HQ,HQ,??? ???,????? ??? ???????,,
Electrician,1/7/1989,'01/01/1969,18,HQ,HQ,??? ???,????? ??? ???????,,
Driver,08/06/1989,'30/01/1970,18,Hosenpur,,???????,???? ?????? ????????? ????? ???????,,
